score,Text,Actual_Score,GPT 3.5 Score,GPT 4.0 Score,Llama 7B Score
neutral,"according gran , company plans move production russia , although company growing .",3,2.0,3.0,4.0
positive,new production plant company would increase capacity meet expected increase demand would improve use raw materials therefore increase production profitability .,5,4.0,5.0,5.0
positive,"last quarter 2010 , componenta 's net sales doubled eur131m eur76m period year earlier , moved zero pre-tax profit pre-tax loss eur7m .",4,4.0,3.0,5.0
positive,"third quarter 2010 , net sales increased 5.2 % eur 205.5 mn , operating profit 34.9 % eur 23.5 mn .",5,5.0,5.0,5.0
positive,operating profit rose eur 13.1 mn eur 8.7 mn corresponding period 2007 representing 7.7 % net sales .,4,4.0,5.0,5.0
positive,"operating profit totalled eur 21.1 mn , eur 18.6 mn 2007 , representing 9.7 % net sales .",4,3.0,3.0,4.0
positive,teliasonera tlsn said offer line strategy increase ownership core business holdings would strengthen eesti telekom 's offering customers .,4,3.0,4.0,5.0
positive,"stora enso , norske skog , m-real , upm-kymmene credit suisse first boston ( cfsb ) raised fair value shares four largest nordic forestry groups .",5,3.0,4.0,5.0
positive,"purchase agreement 7,200 tons gasoline delivery hamina terminal , finland , signed neste oil oyj average platts index september plus eight us dollars per month .",4,3.0,3.0,4.0
positive,"finnish talentum reports operating profit increased eur 20.5 mn 2005 eur 9.3 mn 2004 , net sales totaled eur 103.3 mn , eur 96.4 mn .",4,4.0,5.0,5.0
positive,"clothing retail chain sepp+ñl+ñ 's sales increased 8 % eur 155.2 mn , operating profit rose eur 31.1 mn eur 17.1 mn 2004 .",4,4.0,5.0,5.0
positive,"consolidated net sales increased 16 % reach eur74 .8 , operating profit amounted eur0 .9 compared loss eur0 .7 prior year period .",5,5.0,5.0,5.0
positive,"foundries division reports sales increased 9.7 % eur 63.1 mn eur 57.5 mn corresponding period 2006 , sales machine shop division increased 16.4 % eur 41.2 mn eur 35.4 mn corresponding period 2006 .",4,4.0,5.0,5.0
positive,"helsinki ( afx ) - shares closed higher , led nokia announced plans team sanyo manufacture 3g handsets , nokian tyres fourth-quarter earnings report beat analysts ' expectations , dealers said .",5,4.0,5.0,5.0
positive,"incap contract manufacturing services pvt ltd , subsidiary incap corporation finland , plans double revenues 2007-2008 .",5,4.0,4.0,4.0
positive,"board directors propose dividend eur0 .12 per share 2010 , eur0 .08 per share paid 2009 .",5,2.0,4.0,5.0
positive,"lifetree founded 2000 , revenues risen average 40 % margins late 30s .",4,3.0,4.0,5.0
positive,"megafon 's subscriber base increased 16.1 % 2009 50.5 million users december 31 , market share number customers amounted 24 % late 2009 , 23 % late 2008 , according teliasonera estimates .",5,4.0,4.0,5.0
positive,"net income life insurance doubled eur 6.8 mn eur 3.2 mn , net income non-life insurance rose eur 5.2 mn eur 1.5 mn corresponding period 2009 .",5,4.0,5.0,5.0
positive,net sales increased eur193 .3 eur179 .9 pretax profit rose 34.2 % eur43 .1 m. ( eur1 = usd1 .4 ),4,4.0,5.0,5.0
positive,"net sales surged 18.5 % eur167 .8 m. teleste said eur20 .4 , 12.2 % , sales came acquisitions made 2009 .",5,4.0,4.0,5.0
positive,nordea group 's operating profit increased 2010 18 percent year-on-year 3.64 billion euros total revenue 3 percent 9.33 billion euros .,5,5.0,5.0,5.0
positive,"operating profit nine-month period increased eur13 .6 , net sales increased eur394 .7 , compared corresponding period 2005 .",5,5.0,5.0,5.0
positive,"operating profit nine-month period increased eur3 .1 net sales increased eur61 .5 , compared corresponding period 2007 .",5,5.0,5.0,5.0
positive,"operating profit three-month period increased eur1 .2 , revenue increased eur20 .2 , compared corresponding period 2005 .",4,5.0,5.0,5.0
positive,"company 's net profit rose 11.4 % year 82.2 million euros 2005 sales 686.5 million euros , 13.8 % year , company said earlier .",5,5.0,5.0,5.0
positive,"lithuanian beer market made 14.41 million liters january , rise 0.8 percent year-earlier figure , lithuanian brewers ' association reporting citing results members .",4,3.0,3.0,5.0
positive,"viking line 's cargo revenue increased 5.4 % eur 21.46 mn , cargo volume increased 2.4 % 70,116 cargo units .",4,5.0,5.0,5.0
positive,"fair value property portfolio doubled result kapiteeli acquisition totalled eur 2,686.2 1,259.7 million .",4,4.0,3.0,4.0
positive,10 february 2011 - finnish media company sanoma oyj hel : saa1v said yesterday 2010 net profit almost tripled eur297 .3 eur107 .1 2009 announced proposal raised payout .,5,4.0,5.0,5.0
positive,"helsinki : eliiv today reported eps eur1 .13 2009 , increase eps eur1 .12 2008 .",5,3.0,3.0,5.0
positive,"aspo plc stock exchange release february 11 , 2011 at8 .45 a.m. esl shipping ltd , part aspo group , signed new , long-term contract rautaruukki corporation marine transport raw materials baltic sea .",5,3.0,3.0,5.0
positive,"commission income increased 22 % eur 4.4 mn , lending volume rose 13.5 % .",5,5.0,5.0,5.0
positive,"january , traffic , measured revenue passenger kilometres rpk , went 3.2 % capacity , measured available seat kilometres ask , rose 12.2 % .",4,3.0,3.0,4.0
positive,"january-september 2010 , fiskars ' net profit went 14 % year-on-year eur 65.4 million net sales eur 525.3 million eur 487.7 million .",4,3.0,4.0,5.0
positive,"net income life insurance rose eur 16.5 mn eur 14.0 mn , net income non-life insurance eur 22.6 mn eur 15.2 mn 2009 .",4,3.0,4.0,5.0
