textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²)
cb774db0d1,"` responded , going","I`d have responded, if I were going",neutral,morning,0-20,Afghanistan,38928346,652860.0,60
549e992a42,sooo sad miss san diego ! ! !,Sooo SAD,negative,noon,21-30,Albania,2877797,27400.0,105
088c60f138,boss bullying ...,bullying me,negative,night,31-45,Algeria,43851044,2381740.0,18
9642c003ef,interview ! leave alone,leave me alone,negative,morning,46-60,Andorra,77265,470.0,164
358bd9e861,"sons * * * * , ` put releases already bought","Sons of ****,",negative,noon,60-70,Angola,32866272,1246700.0,26
28b57f3990,http : //www.dothebouncy.com/smf - shameless plugging best rangers forum earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,night,70-100,Antigua and Barbuda,97929,440.0,223
6e0c6d75b1,2am feedings baby fun smiles coos,fun,positive,morning,0-20,Argentina,45195774,2736690.0,17
50e14c0bb8,soooo high,Soooo high,neutral,noon,21-30,Armenia,2963243,28470.0,104
e050245fbd,,Both of you,neutral,night,31-45,Australia,25499884,7682300.0,3
fc2cbefa9d,journey ! ? wow ... u became cooler . hehe ... ( possible ! ? ),Wow... u just became cooler.,positive,morning,46-60,Austria,9006398,82400.0,109
2339a9b08b,"much love hopeful , reckon chances minimal =p ` never gon na get cake stuff","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,noon,60-70,Azerbaijan,10139177,82658.0,123
16fab9f95b,really really like song love story taylor swift,like,positive,night,70-100,Bahamas,393244,10010.0,39
74a76f6e0a,sharpie running dangerously low ink,DANGERously,negative,morning,0-20,Bahrain,1701575,760.0,2239
04dd1d2e34,want go music tonight lost voice .,lost,negative,noon,21-30,Bangladesh,164689383,130170.0,1265
bbe3cbf620,test test lg env2,test test from the LG enV2,neutral,night,31-45,Barbados,287375,430.0,668
8a939bfb59,"uh oh , sunburned","Uh oh, I am sunburned",negative,morning,46-60,Belarus,9449323,202910.0,47
